,TSM-PS12(5),TSM-AS10(11),TSM-AS34(6),TSM-PS20(6),TSM-PS19(5),PRM1
97,62.703100000000006,81.5909,56.39779999999999,55.6832,59.1923,719.856
98,74.7499,72.5618,69.3757,67.5367,68.356,144.249
99,70.2372,72.6562,69.3721,65.9683,64.7182,109.02411
100,56.5282,81.01480000000001,54.6321,51.2826,55.755199999999995,700.239
101,55.8448,80.5525,57.63730000000001,48.6836,54.1551,1094.234
102,74.2988,71.77680000000001,69.1584,65.7949,68.30789999999999,122.15247
103,71.269,72.0304,66.3949,66.37559999999999,65.3773,210.3538
104,59.566199999999995,81.8998,56.011399999999995,53.056599999999996,57.2451,882.1999999999999
105,60.636399999999995,82.7552,56.3648,53.006400000000006,58.3108,1278.5149999999999
106,75.3133,72.6369,67.5765,68.0989,69.2994,176.77349999999998
107,72.85079999999999,73.1653,67.1116,68.5592,66.9147,121.8283
108,58.7227,81.7965,56.3899,55.1988,57.8144,755.985
109,59.2773,82.32220000000001,58.07040000000001,52.691700000000004,56.7225,682.653
110,72.2715,71.75909999999999,69.7921,65.0163,64.8639,93.73080000000002
111,71.0503,72.004,67.8181,66.7356,64.29679999999999,164.4452
112,56.8013,82.3206,55.559799999999996,52.183800000000005,54.8127,797.3809999999999
113,58.4703,82.81450000000001,55.58669999999999,52.047,55.142799999999994,852.6709999999998
114,74.6351,71.9537,68.6619,66.5532,67.47479999999999,121.975
115,70.94810000000001,72.54729999999999,67.4601,65.1447,64.8381,248.00877
116,57.480900000000005,81.4542,54.2362,52.6957,54.86709999999999,536.5908
117,59.2516,82.1938,54.7369,51.692899999999995,55.8511,560.5969
118,75.8025,71.66890000000001,67.8687,67.612,70.60759999999999,45.708622
119,74.1231,71.7483,68.086,69.2406,68.9478,101.79795
120,60.9216,79.1049,57.3474,56.3136,59.0588,730.934
121,60.2803,79.7192,58.3041,53.3801,57.5352,776.88
122,74.5176,70.39500000000001,68.1922,66.2631,69.3717,205.1241
123,69.374,71.0924,66.0555,66.0856,65.0545,135.29308
124,57.279300000000006,81.1464,56.599199999999996,52.6696,56.4732,688.5902
125,59.3554,81.1164,57.197700000000005,52.395199999999996,56.5454,407.31550000000004
