Data,TSM-PS12(5),TSM-AS10(11),TSM-AS34(6),TSM-PS20(6),TSM-PS19(5),PRM1
1989-04-01,19.3692,27.5523,18.4653,17.3136,18.258,348.978
1989-05-01,20.8114,26.3223,19.0757,18.6115,19.4286,189.473
1989-06-01,23.3827,25.2716,20.9007,20.0889,21.5088,147.24
1989-07-01,25.4062,24.1934,22.6633,22.3853,22.9853,79.7389
1989-08-01,25.8179,23.4783,23.9098,24.1145,23.1935,42.1073
1989-09-01,24.987,23.7287,23.5958,23.692,22.7136,48.6526
1989-10-01,23.0139,23.7183,22.2235,22.0729,21.2635,132.811
1989-11-01,21.5741,24.5266,20.6532,20.3879,20.3173,215.303
1989-12-01,20.2189,25.9596,19.1819,18.7004,19.4402,306.903
1990-01-01,19.2676,26.9343,17.623,17.6567,18.58,142.33
1990-02-01,18.5835,27.7869,17.2772,17.0064,18.3769,356.124
1990-03-01,18.809,27.9395,17.3697,16.7556,18.2374,282.015
1990-04-01,20.062,27.088,17.5974,17.4561,18.6713,189.838
1990-05-01,21.4976,26.0349,19.0958,18.5869,20.1189,129.383
1990-06-01,23.5005,24.9025,21.2072,20.8054,21.8746,28.7421
1990-07-01,24.8739,24.0241,22.6657,22.7523,22.7436,139.885
1990-08-01,25.4321,23.3529,23.704,23.0163,23.0603,21.0087
1990-09-01,24.4724,23.4298,23.3582,22.9901,22.1556,51.9125
1990-10-01,22.8681,23.693,22.2979,21.712,21.086,78.8377
1990-11-01,21.2503,24.1201,20.7593,19.9452,19.6318,69.3177
1990-12-01,19.8492,25.3063,18.8988,18.2161,18.901,207.357
1991-01-01,18.9054,26.7387,17.8511,17.2454,18.3579,225.206
1991-02-01,18.7073,27.6968,17.7627,16.6261,18.3403,144.329
1991-03-01,18.6723,27.8845,17.3922,17.0057,18.0688,383.654
1991-04-01,19.6053,26.8447,18.5163,17.0366,18.7542,148.06
1991-05-01,21.4387,26.0197,20.1651,18.1967,19.903,156.072
1991-06-01,23.2365,24.3892,20.8758,20.2935,21.0637,36.2679
1991-07-01,24.8154,23.2321,21.842,22.2244,22.3132,10.7813
1991-08-01,25.1673,23.1404,22.8337,23.3269,22.3559,10.9139
1991-09-01,24.7184,23.5422,23.0113,23.0462,22.3518,49.8887
1991-10-01,23.5247,23.9539,22.5138,21.8848,21.8292,33.6243
1991-11-01,21.637,24.8937,21.4507,20.5133,20.5334,33.2879
1991-12-01,20.6718,25.7432,20.2165,19.0768,19.8862,136.708
1992-01-01,19.4721,26.709,19.1368,18.0352,18.8601,225.367
1992-02-01,19.1779,27.6717,18.6042,17.1558,19.0456,379.268
1992-03-01,19.3747,27.9618,18.9816,17.4195,18.9321,303.097
1992-04-01,20.0925,27.2017,18.9354,17.9247,19.3578,84.7351
1992-05-01,21.4402,25.8763,19.5444,18.8801,20.5823,33.7633
1992-06-01,23.3504,24.6649,21.5439,20.6759,22.4832,32.1526
1992-07-01,25.2801,23.7829,22.4232,23.0044,23.8483,11.4509
1992-08-01,26.0383,22.8753,24.6482,24.2944,23.836,13.7473
1992-09-01,25.7547,23.2311,24.0672,24.3593,23.4114,42.8516
1992-10-01,24.7024,23.2416,22.9751,23.321,22.4077,5.29855
