Data,TSM-PS12(5),TSM-AS10(11),TSM-AS34(6),TSM-PS20(6),TSM-PS19(5),PRM1
2014-10-01,23.5454,23.6266,23.5575,21.5446,21.1555,86.4871
2014-11-01,22.1474,24.6125,21.5964,20.068,20.1026,45.2831
2014-12-01,20.6435,25.6085,20.2552,18.7753,19.0203,21.714
2015-01-01,19.8334,27.0698,19.7547,17.071,18.5706,181.628
2015-02-01,19.4504,27.845,19.0388,16.9434,18.647,221.868
2015-03-01,19.5605,27.9048,18.7301,16.9872,18.7784,202.101
2015-04-01,20.3962,27.4213,19.7906,17.7104,19.1846,84.275
2015-05-01,21.3188,26.3039,21.0146,18.9776,19.5984,43.5989
2015-06-01,22.9712,24.8709,22.6549,19.951,21.3644,4.23293
2015-07-01,24.6882,23.5687,24.1029,21.9288,22.3927,45.7163
2015-08-01,25.8698,23.1904,24.1908,23.5023,23.0621,1.41132
2015-09-01,25.8306,23.3532,24.2316,23.7771,23.2767,1.94726
2015-10-01,24.626,23.3273,22.9632,23.3398,22.3047,49.5047
2015-11-01,22.985,24.2659,21.5358,21.5158,21.0129,26.7036
2016-01-01,20.6179,25.8331,20.513,18.1443,19.2751,167.585
2016-02-01,20.5661,26.8605,19.3129,17.7868,19.531,128.733
2016-03-01,20.6899,27.7562,19.2012,17.9143,19.4387,430.825
2016-04-01,20.9828,28.0359,18.8312,18.4098,19.5909,195.84
2016-05-01,22.1202,27.3476,19.279,19.1776,20.0658,102.318
2016-06-01,24.076,26.1323,19.8125,20.5039,22.3561,33.6441
2016-07-01,25.7182,24.442,23.2189,22.9059,23.8587,7.95234
2016-08-01,26.7343,23.1923,24.3005,24.3642,24.0061,9.82168
2016-09-01,25.8707,22.968,23.8215,24.5328,23.2014,23.9457
2016-10-01,24.7954,23.3455,23.1094,22.7064,22.5902,49.0983
2016-11-01,23.3556,24.0233,21.3323,21.5952,21.7615,45.5974
2016-12-01,21.584,26.6096,19.1503,19.9986,20.3519,62.3788
2017-01-01,20.5001,27.741,18.269,18.5353,19.6021,244.01
2017-02-01,19.8971,28.249,18.0167,17.7472,19.1331,336.034
2017-03-01,20.0807,28.1196,18.1566,17.7516,19.1554,234.645
2017-04-01,20.9515,27.3359,18.6538,18.448,19.9731,325.08
2017-05-01,23.0519,26.3792,19.669,20.228,21.3684,70.6123
2017-06-01,25.1316,24.8823,21.1418,22.5072,22.6233,27.7626
2017-07-01,26.7074,23.7787,23.6491,24.2022,24.3016,27.2341
2017-08-01,27.5085,23.3457,25.4544,25.2514,24.9274,34.9913
2017-09-01,26.3452,23.5556,24.761,25.0936,24.1978,9.63835
2017-10-01,24.7169,24.1694,22.9843,23.2564,22.9198,38.5244
2017-11-01,22.6108,25.5188,21.1007,21.2709,21.3661,38.4123
2017-12-01,21.1053,26.1821,19.9705,19.49,20.066,203.207
2018-01-01,19.8437,27.1596,19.2213,17.9825,19.3818,160.652
2018-02-01,18.9962,28.3396,19.1018,17.0871,18.6679,380.123
2018-03-01,18.6253,28.5845,19.14,16.7487,18.2279,327.607
2018-04-01,18.7414,27.5411,19.6064,17.1182,18.1849,257.568
2018-05-01,19.9129,26.6635,20.2045,17.5159,19.2493,77.6638
2018-06-01,23.0656,24.8371,21.061,19.6896,20.702,56.1226
2018-07-01,24.9656,23.7938,23.2696,22.1639,22.4509,4.24918
2018-08-01,25.4502,23.4003,23.6377,23.8347,22.7805,17.6055
2018-09-01,24.859,23.7798,23.61,23.2508,22.3924,28.9391
2018-10-01,23.5028,24.1249,23.2405,21.9775,21.6778,18.6706
2018-11-01,21.6782,24.4503,22.0178,20.6852,20.3599,93.4796
2018-12-01,20.2597,25.9958,19.9858,18.3281,19.5112,244.039
2019-01-01,19.0324,26.8248,18.8559,17.3718,18.6313,146.879
2019-02-01,18.7223,27.3905,18.2795,16.8529,18.2927,144.102
2019-03-01,19.0569,27.8186,18.6754,16.5982,18.2839,149.595
2019-04-01,19.9115,27.2367,19.6831,17.4085,19.0028,249.643
2019-05-01,21.8233,26.2569,20.1328,18.9793,20.6316,125.64
2019-06-01,23.8224,25.0361,21.3921,21.0584,21.8329,22.534
2019-07-01,25.6046,23.7525,23.7064,22.5086,23.4857,15.9709
2019-08-01,26.3969,23.2572,24.6719,24.4743,23.5673,15.5971
2019-09-01,25.2061,23.7886,23.8598,23.6318,22.503,18.8219
2019-10-01,23.8125,24.2666,22.9201,22.3164,21.4101,21.1361
2019-11-01,21.8031,25.1075,21.4162,20.4415,20.1946,38.1429
2019-12-01,20.26,26.1132,20.6937,18.5123,19.0991,58.8851
2020-01-01,19.3269,27.1369,18.923,17.1494,18.4373,140.627
2020-02-01,18.646,28.3355,18.2159,16.7705,17.9849,229.083
2020-03-01,18.9014,28.3387,18.2507,16.2441,18.1748,287.737
2020-04-01,19.6512,27.4178,19.1298,17.3996,18.6546,198.726
2020-05-01,21.4865,25.9406,20.2243,18.9702,19.8768,168.41
2020-06-01,23.2565,24.4454,21.1862,21.1567,21.2918,43.6417
2020-07-01,25.6691,23.2897,22.7184,22.9876,23.2911,8.05965
2020-08-01,26.4304,23.1263,23.2349,24.4778,23.6661,34.9358
2020-09-01,26.0217,23.4339,22.9988,24.4513,23.5494,9.46471
2020-10-01,23.8826,24.6634,21.8662,23.1672,21.9253,22.297
2020-11-01,22.1416,25.8891,20.2062,20.8033,20.8847,172.264
2020-12-01,20.2234,27.5596,19.2435,19.0693,19.4208,124.394
